,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline
22,37.42,13.72,14.719999999999999,43.2,212.0,15.219999999999999,15.76,10.54,13.379999999999999,17.6,12.22,18.0,2080.0
23,35.7,13.2,15.04,45.6,200.0,14.96,14.74,10.52,12.92,17.86,12.18,17.259999999999998,2040.0
24,37.0,13.620000000000001,15.219999999999999,50.0,202.0,15.059999999999999,15.219999999999999,10.56,13.32,17.04,12.24,17.64,1700.0
25,36.1,14.1,16.44,60.0,258.0,15.26,15.36,10.94,13.84,17.16,12.26,16.4,1670.0
26,36.78,13.54,15.24,42.2,196.0,15.7,15.879999999999999,10.68,12.9,19.6,11.84,16.44,2400.0
27,36.6,13.44,14.280000000000001,44.0,198.0,14.8,14.379999999999999,10.54,12.7,17.9,12.04,15.54,2580.0
28,37.739999999999995,13.8,15.6,48.8,224.0,15.9,15.940000000000001,10.74,13.52,19.0,12.5,16.8,1840.0
29,38.04,13.36,14.42,42.0,202.0,15.3,14.66,10.52,13.96,19.4,12.08,17.18,2080.0
30,37.46,13.0,15.4,55.0,212.0,16.0,16.5,10.58,14.76,21.4,12.379999999999999,15.42,2580.0
31,37.16,13.32,14.719999999999999,48.2,222.0,15.719999999999999,16.38,10.44,13.9,23.8,12.18,15.76,3040.0
32,37.36,13.66,14.719999999999999,44.4,218.0,14.84,15.379999999999999,10.84,13.94,17.68,12.46,15.74,1990.0
33,37.519999999999996,13.06,15.4,49.0,274.0,15.9,15.48,11.0,12.7,20.8,12.5,16.0,2480.0
34,37.019999999999996,13.6,15.3,48.0,230.0,14.7,15.059999999999999,10.58,13.08,18.4,12.2,15.74,2200.0
35,36.96,13.620000000000001,14.82,51.0,210.0,15.4,15.96,10.52,13.72,20.2,12.08,16.94,1850.0
36,36.56,13.28,15.68,41.0,230.0,15.2,15.36,10.68,12.72,19.2,12.18,15.559999999999999,1770.0
37,36.1,13.3,15.1,46.0,206.0,14.9,14.86,10.58,12.879999999999999,18.5,12.24,15.02,2220.0
38,36.14,13.0,14.2,41.0,206.0,14.8,15.280000000000001,10.56,12.74,17.4,12.36,15.379999999999999,2050.0
39,38.44,17.98,15.02,36.4,266.0,16.0,16.08,10.4,14.16,20.2,11.78,17.06,1530.0
40,37.120000000000005,13.42,14.620000000000001,42.4,244.0,16.3,16.58,10.68,14.68,22.259999999999998,11.9,16.759999999999998,1600.0
41,36.82,17.68,14.24,47.6,190.0,14.9,15.36,10.54,12.96,18.560000000000002,11.82,16.0,2080.0
42,37.760000000000005,13.78,15.18,40.0,212.0,16.5,17.12,10.34,13.4,20.86,11.76,17.12,2200.0
43,36.480000000000004,17.96,14.58,45.0,216.0,15.280000000000001,15.26,10.64,13.32,18.72,11.64,16.0,1370.0
44,36.1,13.54,14.2,44.0,224.0,16.0,16.0,10.56,14.059999999999999,20.08,11.76,16.7,1780.0
45,38.42,18.08,14.879999999999999,47.8,232.0,15.7,15.3,10.6,12.5,20.48,11.74,16.66,2170.0
46,38.760000000000005,17.18,14.559999999999999,42.0,214.0,16.5,16.34,10.54,14.379999999999999,19.8,12.08,16.88,2140.0
47,37.8,13.36,14.24,42.0,212.0,16.2,16.78,10.42,14.280000000000001,22.2,11.82,16.66,1980.0
48,38.2,14.04,14.8,47.6,216.0,15.5,15.84,10.64,14.76,22.4,12.14,15.5,2130.0
49,37.879999999999995,13.46,14.54,44.8,226.0,15.76,17.08,10.64,14.16,27.8,12.24,16.2,2530.0
50,36.1,13.46,14.08,34.8,194.0,15.440000000000001,16.54,10.34,15.82,24.4,12.24,15.82,2310.0
51,37.66,13.3,15.2,44.4,198.0,14.9,15.98,10.44,14.58,21.2,12.48,16.740000000000002,2540.0
52,37.64,13.5,14.84,38.0,232.0,17.759999999999998,17.48,10.64,13.74,24.1,12.02,16.52,2390.0
53,37.54,13.8,15.36,44.2,240.0,16.0,15.58,10.78,13.36,22.6,12.26,15.86,2760.0
54,37.480000000000004,13.34,14.5,42.8,246.0,15.2,15.8,10.42,13.24,21.7,11.84,16.4,2130.0
55,37.120000000000005,13.46,14.92,51.0,242.0,15.92,15.559999999999999,10.4,14.9,22.5,11.96,16.06,2250.0
56,38.44,13.4,14.6,42.6,246.0,16.4,16.0,10.52,14.059999999999999,22.759999999999998,11.879999999999999,16.62,1950.0
57,36.58,13.94,15.36,43.6,214.0,16.0,16.46,10.62,13.32,22.0,12.14,15.68,2550.0
58,37.44,12.86,15.0,43.4,226.0,16.8,17.34,10.38,14.08,23.6,11.78,15.74,2580.0
59,34.739999999999995,11.879999999999999,12.72,31.2,186.0,13.96,11.14,10.56,10.84,13.9,12.1,13.64,1050.0
60,34.66,12.2,14.559999999999999,42.0,212.0,14.1,12.18,11.26,10.82,16.54,12.5,13.34,1370.0
61,35.28,12.72,14.04,43.6,210.0,14.04,12.82,11.06,11.24,21.5,11.96,13.18,910.0
62,37.34,12.5,13.84,46.0,198.0,14.2,13.58,10.64,11.46,17.6,12.46,14.92,1270.0
63,34.739999999999995,12.26,14.32,48.0,184.0,17.0,16.2,10.38,13.74,18.9,12.44,15.74,850.0
64,34.34,12.9,15.059999999999999,48.0,218.0,13.78,13.5,10.9,12.06,15.9,12.9,14.46,720.0
65,34.739999999999995,12.42,15.120000000000001,46.2,206.0,14.84,15.3,10.74,14.16,19.2,12.379999999999999,14.6,1366.0
66,36.22,12.02,13.4,40.0,166.0,15.96,16.36,10.52,14.559999999999999,20.6,12.24,16.36,1014.0
67,34.739999999999995,12.34,13.84,49.2,166.0,14.219999999999999,14.0,10.54,12.08,19.36,12.24,16.96,1030.0
68,36.68,11.879999999999999,14.719999999999999,44.0,230.0,15.059999999999999,12.6,11.1,10.84,16.34,12.04,13.86,1510.0
69,34.42,12.379999999999999,13.5,43.6,312.0,13.7,12.56,10.28,15.0,15.7,12.56,16.14,1446.0
70,34.58,13.22,14.42,50.8,216.0,12.2,12.04,10.74,12.92,16.1,11.812,13.64,1750.0
71,37.72,13.02,15.34,60.0,182.0,15.9,15.719999999999999,10.42,13.74,16.759999999999998,12.72,16.32,830.0
72,36.980000000000004,13.32,14.48,58.0,184.0,13.76,13.68,10.54,12.06,17.48,11.96,15.559999999999999,954.0
73,35.980000000000004,13.34,15.2,70.0,288.0,16.6,15.780000000000001,10.42,13.92,16.7,12.620000000000001,17.0,1980.0
74,33.92,12.18,14.6,52.0,212.0,16.759999999999998,14.280000000000001,10.26,13.3,16.42,11.98,16.259999999999998,1782.0
75,33.32,13.76,13.84,42.0,204.0,13.22,13.14,10.68,12.3,17.6,12.46,14.280000000000001,866.0
76,36.06,11.8,13.42,42.0,182.0,13.9,14.059999999999999,10.48,12.92,19.2,12.379999999999999,14.96,794.0
77,33.68,15.780000000000001,14.46,46.0,234.0,13.44,12.64,10.86,11.9,15.3,11.92,15.04,1010.0
78,34.66,11.98,13.9,39.6,282.0,13.8,13.7,10.7,15.52,16.8,12.120000000000001,14.620000000000001,1510.0
79,35.4,17.740000000000002,14.8,56.0,212.0,15.66,15.1,10.86,13.9,15.14,12.379999999999999,16.259999999999998,936.0
80,34.0,11.84,14.0,48.0,182.0,14.84,14.52,10.6,12.86,15.0,12.76,16.240000000000002,566.0
81,35.44,13.620000000000001,14.4,47.6,182.0,14.4,15.059999999999999,10.52,13.54,17.8,12.32,16.28,1438.0
82,34.16,12.26,15.02,58.0,166.0,14.0,13.16,10.8,12.8,14.4,12.620000000000001,15.440000000000001,1270.0
83,36.1,17.72,14.64,55.0,180.0,13.3,13.18,11.22,13.24,19.6,11.68,14.02,1040.0
84,33.68,11.78,15.16,46.0,198.0,14.4,14.42,10.44,14.7,16.1,11.58,16.16,1050.0
85,35.34,11.96,14.48,46.0,208.0,14.4,13.879999999999999,10.6,12.92,15.24,12.46,16.32,910.0
86,34.32,13.22,14.620000000000001,55.6,190.0,13.56,13.379999999999999,10.86,13.120000000000001,14.9,12.66,14.52,1000.0
87,33.3,13.34,15.24,62.0,186.0,13.84,13.22,10.8,12.68,15.2,12.72,16.42,1134.0
88,33.28,14.120000000000001,14.92,53.2,178.0,13.9,13.379999999999999,10.96,12.7,15.6,12.0,15.5,1370.0
89,34.16,12.66,14.6,57.2,150.0,14.4,13.18,10.84,12.76,13.48,12.14,16.42,1260.0
90,34.16,13.66,14.64,47.0,172.0,13.2,13.0,11.04,13.28,14.8,12.16,14.54,970.0
91,34.0,13.02,14.84,54.0,182.0,12.9,12.5,11.0,13.26,17.2,12.1,15.3,910.0
92,35.379999999999995,13.06,14.52,51.4,170.0,12.76,12.92,11.16,13.24,16.1,11.92,14.120000000000001,1000.0
93,34.58,15.66,14.440000000000001,46.0,186.0,14.9,14.5,10.5,13.98,14.3,12.3,16.6,590.0
94,33.239999999999995,13.98,14.559999999999999,46.0,206.0,16.04,14.52,10.34,12.7,16.5,12.32,15.92,700.0
95,34.94,13.04,14.4,48.0,334.0,15.0,14.54,10.64,16.56,15.2,12.32,15.26,1884.0
96,33.620000000000005,14.24,15.48,53.0,278.0,13.2,11.98,10.28,13.120000000000001,15.0,11.9,14.52,1260.0
97,34.58,12.82,13.96,42.0,180.0,15.1,15.0,10.58,13.54,15.8,12.46,15.48,866.0
98,34.739999999999995,12.14,14.2,47.0,186.0,17.04,17.5,10.48,13.9,19.0,12.08,15.54,1330.0
99,34.58,16.34,14.42,46.0,186.0,15.7,15.98,10.9,15.620000000000001,14.6,12.84,15.66,822.0
100,34.16,14.16,13.4,45.0,204.0,14.46,14.34,10.52,12.8,16.6,12.54,15.92,1430.0
101,35.2,12.68,13.8,47.0,186.0,12.9,12.72,10.58,12.7,14.9,12.08,15.54,1134.0
102,34.68,14.9,14.92,52.0,206.0,15.120000000000001,14.219999999999999,10.68,12.620000000000001,15.6,11.6,16.759999999999998,886.0
103,33.64,13.44,13.76,49.0,182.0,15.0,13.28,10.74,12.84,14.120000000000001,11.879999999999999,14.879999999999999,840.0
104,35.019999999999996,13.46,13.96,51.0,180.0,14.4,13.84,10.64,12.96,15.879999999999999,12.08,17.14,1354.0
105,34.84,15.1,14.54,54.0,190.0,13.36,13.68,11.32,12.84,15.4,11.72,16.6,640.0
106,34.5,13.46,14.24,48.0,170.0,13.3,14.059999999999999,10.74,13.26,16.8,12.0,16.34,1030.0
107,35.44,13.5,14.559999999999999,55.0,178.0,12.76,13.52,10.96,13.26,16.6,11.76,14.84,986.0
108,34.44,12.58,13.879999999999999,48.0,194.0,14.719999999999999,14.08,10.78,14.16,15.4,11.72,16.04,634.0
109,33.22,12.7,15.4,50.0,198.0,15.48,15.84,10.58,14.98,15.3,11.92,16.52,1370.0
110,32.92,17.48,13.64,49.0,224.0,16.36,15.16,10.48,17.16,15.8,11.5,15.620000000000001,1134.0
111,35.04,14.86,14.34,52.0,186.0,15.1,14.54,10.52,12.44,14.0,11.8,15.559999999999999,660.0
112,33.519999999999996,15.36,15.84,50.0,216.0,13.5,14.059999999999999,11.2,12.1,17.6,12.46,15.0,1224.0
113,32.82,11.48,15.0,52.0,186.0,14.96,14.02,10.84,12.879999999999999,16.16,12.2,14.620000000000001,878.0
114,34.16,12.78,15.0,55.0,178.0,15.120000000000001,14.58,10.86,12.08,15.8,11.86,16.38,780.0
115,32.06,13.02,14.4,53.0,180.0,14.92,14.34,11.04,14.02,13.8,13.42,15.74,824.0
116,33.64,12.94,13.98,51.6,182.0,13.96,13.2,10.6,13.06,13.9,11.9,16.66,1000.0
117,34.84,13.22,14.379999999999999,55.0,226.0,14.0,14.18,10.68,13.22,14.120000000000001,12.120000000000001,15.92,700.0
118,35.54,16.86,13.96,42.0,170.0,13.26,12.5,10.86,11.66,16.8,11.4,14.24,754.0
119,34.0,16.86,14.0,48.0,184.0,14.0,13.28,10.74,13.74,12.56,11.86,16.1,1138.0
120,32.9,14.8,14.84,50.0,202.0,15.8,15.58,10.64,13.66,16.5,11.6,16.78,1260.0
121,33.120000000000005,14.1,16.46,67.0,248.0,16.36,20.16,10.94,13.74,22.0,11.86,17.38,940.0
122,34.84,18.86,15.46,63.0,214.0,14.4,14.26,10.86,13.42,14.16,11.84,16.240000000000002,740.0
123,36.1,21.6,14.26,53.0,182.0,15.24,15.3,10.6,14.02,15.2,11.46,16.2,770.0
124,33.739999999999995,18.619999999999997,14.780000000000001,52.0,174.0,15.719999999999999,16.06,10.42,15.82,15.6,11.5,17.28,770.0
125,34.14,14.32,14.34,52.0,180.0,15.2,15.3,10.74,12.7,15.52,11.72,16.56,766.0
126,34.86,13.06,14.58,53.0,182.0,15.48,16.3,10.78,13.54,17.88,11.379999999999999,15.68,714.0
127,33.58,14.26,15.559999999999999,67.0,194.0,14.26,14.48,11.16,13.52,16.0,11.94,14.879999999999999,942.0
128,34.739999999999995,13.26,14.6,59.0,186.0,14.440000000000001,14.9,10.8,13.8,14.24,11.78,15.559999999999999,694.0
129,34.08,18.6,14.76,54.0,170.0,14.2,13.5,10.84,12.7,15.2,11.58,15.14,1170.0
130,35.72,12.7,14.64,46.0,254.0,13.02,12.5,10.42,11.879999999999999,18.2,11.52,12.58,1270.0
131,35.760000000000005,15.98,14.8,50.0,218.0,12.6,12.44,10.48,11.66,20.8,11.48,12.84,1070.0
132,35.620000000000005,14.620000000000001,14.8,58.0,206.0,12.3,12.18,10.54,11.66,21.4,11.32,12.72,1130.0
133,35.4,17.1,14.719999999999999,53.0,222.0,13.4,12.4,10.34,11.68,20.0,11.56,12.58,1210.0
134,35.019999999999996,12.48,14.5,45.0,180.0,14.0,11.16,11.2,12.5,20.9,11.5,13.02,1310.0
135,35.2,14.92,14.4,47.0,198.0,13.24,11.32,11.26,11.879999999999999,24.2,11.46,13.16,1400.0
136,34.5,19.439999999999998,15.08,52.0,188.0,12.76,10.94,11.06,11.6,17.7,11.5,12.54,1450.0
137,35.06,21.02,15.280000000000001,60.0,202.0,13.58,11.2,11.26,12.2,20.0,11.64,13.379999999999999,1040.0
138,36.980000000000004,17.18,14.379999999999999,49.0,186.0,13.24,10.96,11.16,11.76,21.4,11.620000000000001,13.64,1170.0
139,35.68,15.92,15.219999999999999,58.0,212.0,14.64,11.2,11.06,11.620000000000001,19.84,11.78,14.3,1190.0
140,35.86,15.620000000000001,15.4,52.0,202.0,13.08,11.0,11.06,11.5,19.2,11.54,14.620000000000001,1210.0
141,36.72,15.120000000000001,14.7,50.0,188.0,12.8,11.0,10.74,11.28,21.2,11.4,14.940000000000001,1570.0
142,37.04,16.34,15.440000000000001,57.0,204.0,13.1,11.04,11.0,11.1,18.7,11.78,14.120000000000001,1050.0
143,37.239999999999995,19.9,14.7,50.0,194.0,14.0,11.6,10.94,12.04,18.8,11.82,14.1,1110.0
144,34.5,17.759999999999998,14.4,47.0,234.0,12.76,11.56,10.58,12.28,26.42,11.3,14.0,1720.0
145,36.32,17.14,14.3,52.0,214.0,13.0,11.1,10.86,12.6,18.0,11.2,13.36,1670.0
146,37.760000000000005,20.08,14.46,50.0,170.0,11.96,10.68,10.8,11.36,19.8,11.16,12.66,840.0
147,35.739999999999995,19.22,14.96,53.0,182.0,13.4,11.3,10.94,11.72,25.3,11.08,13.72,1260.0
148,36.64,16.48,14.76,53.0,194.0,13.86,11.52,10.9,12.5,26.84,11.1,13.24,1310.0
149,36.16,17.8,14.719999999999999,53.0,236.0,12.82,12.78,10.68,12.28,28.8,11.14,12.66,1110.0
150,37.0,16.240000000000002,15.24,58.0,256.0,12.8,13.14,10.44,12.5,27.2,11.18,12.6,1010.0
151,35.58,15.34,14.96,54.0,234.0,12.96,12.72,10.48,12.52,31.6,10.96,12.94,970.0
152,36.22,13.8,15.5,61.0,242.0,14.4,12.56,10.52,13.120000000000001,24.2,11.22,12.66,860.0
153,36.46,16.6,14.559999999999999,47.0,206.0,13.6,11.66,11.22,13.74,31.04,11.120000000000001,13.02,1360.0
154,35.16,12.58,14.2,50.0,216.0,12.96,11.16,11.06,12.8,25.2,11.16,13.1,1290.0
155,36.34,20.380000000000003,14.64,54.0,196.0,13.48,11.26,11.22,13.1,25.8,11.2,12.96,1460.0
156,37.68,18.240000000000002,14.76,49.0,188.0,13.6,11.66,10.96,13.120000000000001,28.02,11.14,13.28,970.0
157,34.9,16.06,15.280000000000001,64.0,204.0,13.8,11.16,11.26,12.28,25.0,11.34,13.46,1770.0
158,38.68,13.36,15.4,60.0,206.0,15.6,12.620000000000001,11.06,15.4,36.0,11.14,13.92,1330.0
159,36.96,13.34,15.280000000000001,55.0,188.0,15.2,12.2,11.04,14.58,33.5,11.14,13.56,1250.0
160,34.72,17.66,14.76,52.0,186.0,14.6,11.84,11.0,12.08,25.3,11.120000000000001,13.16,1050.0
161,37.379999999999995,16.52,15.08,50.0,224.0,13.66,11.120000000000001,11.0,11.6,21.759999999999998,11.92,13.64,1370.0
162,35.7,16.54,15.16,54.0,222.0,13.3,11.2,11.2,11.92,21.16,11.74,14.219999999999999,1150.0
163,35.92,16.9,14.7,47.0,222.0,12.78,11.4,10.8,11.879999999999999,20.560000000000002,11.36,13.5,1360.0
164,37.56,15.52,14.6,54.0,190.0,12.7,11.36,10.82,12.06,29.16,11.4,13.36,1240.0
165,37.46,18.72,14.52,55.0,186.0,12.56,10.94,11.04,12.3,23.240000000000002,11.56,13.5,1050.0
166,36.9,17.4,15.2,56.0,232.0,13.4,11.84,10.86,12.92,31.36,11.7,13.120000000000001,1400.0
167,35.64,16.740000000000002,14.6,49.0,186.0,12.96,11.32,10.8,11.94,30.52,11.44,13.5,1380.0
168,37.16,15.16,15.379999999999999,59.0,220.0,13.1,11.68,10.78,13.08,27.32,11.48,13.6,1510.0
169,36.8,19.2,15.719999999999999,60.0,234.0,13.96,11.92,10.54,12.22,27.0,11.34,13.84,1270.0
170,34.4,16.06,14.64,48.0,202.0,12.5,10.98,10.8,11.46,21.0,11.32,13.66,1030.0
171,35.54,14.780000000000001,14.559999999999999,49.0,182.0,12.78,11.02,10.96,11.28,29.799998,11.14,13.26,950.0
172,38.32,15.02,14.96,50.0,192.0,13.36,11.4,10.88,12.48,29.4,11.24,13.42,1330.0
173,37.42,21.3,14.9,51.0,200.0,13.36,11.22,11.04,12.120000000000001,25.4,11.28,13.48,1490.0
174,36.8,17.82,14.96,56.0,214.0,13.6,11.5,10.86,12.82,24.6,11.4,13.120000000000001,1510.0
175,36.54,18.560000000000002,14.52,50.0,250.0,13.18,11.379999999999999,10.86,12.7,30.4,11.18,13.120000000000001,1680.0
176,36.34,15.18,14.74,50.0,250.0,13.3,11.36,11.06,12.92,28.6,11.2,13.24,1690.0
177,38.260000000000005,18.2,15.48,59.0,202.0,14.1,11.52,11.120000000000001,12.7,28.4,11.22,13.2,1130.0
